Price,Quantity,Type,Timestamp
37976000,0.0576,0,2022.5.22 0:00
37975000,0.0002,0,2022.5.22 0:00
37973000,0.3516,0,2022.5.22 0:00
37970000,0.1663,0,2022.5.22 0:00
37969000,0.0003,0,2022.5.22 0:00
37996000,0.0575,1,2022.5.22 0:00
37998000,0.0315,1,2022.5.22 0:00
38000000,0.1398,1,2022.5.22 0:00
38001000,0.7066,1,2022.5.22 0:00
38002000,0.4193,1,2022.5.22 0:00
37976000,0.0579,0,2022.5.22 0:00
37975000,0.0002,0,2022.5.22 0:00
37973000,0.3516,0,2022.5.22 0:00
37969000,0.1665,0,2022.5.22 0:00
37968000,2.0448,0,2022.5.22 0:00
37996000,0.0575,1,2022.5.22 0:00
37998000,0.0315,1,2022.5.22 0:00
38000000,0.1398,1,2022.5.22 0:00
38001000,0.7066,1,2022.5.22 0:00
38002000,0.4193,1,2022.5.22 0:00
37976000,0.0418,0,2022.5.22 0:00
37975000,0.0002,0,2022.5.22 0:00
37973000,0.3516,0,2022.5.22 0:00
37969000,0.1665,0,2022.5.22 0:00
37968000,2.0448,0,2022.5.22 0:00
37996000,0.0575,1,2022.5.22 0:00
37998000,0.0315,1,2022.5.22 0:00
37999000,0.6003,1,2022.5.22 0:00
38000000,0.1398,1,2022.5.22 0:00
38001000,0.1964,1,2022.5.22 0:00
37976000,0.0419,0,2022.5.22 0:00
37975000,0.0002,0,2022.5.22 0:00
37973000,0.3516,0,2022.5.22 0:00
37969000,0.1677,0,2022.5.22 0:00
37968000,2.0448,0,2022.5.22 0:00
37996000,0.0575,1,2022.5.22 0:00
37998000,0.0315,1,2022.5.22 0:00
37999000,0.6006,1,2022.5.22 0:00
38000000,0.1398,1,2022.5.22 0:00
38001000,0.1973,1,2022.5.22 0:00
37976000,0.0331,0,2022.5.22 0:00
37975000,0.0002,0,2022.5.22 0:00
37973000,0.3516,0,2022.5.22 0:00
37969000,0.1677,0,2022.5.22 0:00
37968000,2.0448,0,2022.5.22 0:00
37996000,0.0491,1,2022.5.22 0:00
37998000,0.0315,1,2022.5.22 0:00
37999000,0.6006,1,2022.5.22 0:00
38000000,0.1398,1,2022.5.22 0:00
38001000,0.1066,1,2022.5.22 0:00
37974000,0.0515,0,2022.5.22 0:01
37969000,0.0003,0,2022.5.22 0:01
37967000,0.0003,0,2022.5.22 0:01
37966000,0.0003,0,2022.5.22 0:01
37963000,0.437,0,2022.5.22 0:01
37991000,0.0488,1,2022.5.22 0:01
37993000,0.1338,1,2022.5.22 0:01
37994000,0.4957,1,2022.5.22 0:01
37996000,0.0491,1,2022.5.22 0:01
37997000,0.5257,1,2022.5.22 0:01
37969000,0.0003,0,2022.5.22 0:01
37967000,0.0003,0,2022.5.22 0:01
37966000,0.0003,0,2022.5.22 0:01
37963000,0.437,0,2022.5.22 0:01
37961000,0.168,0,2022.5.22 0:01
37974000,0.0222,1,2022.5.22 0:01
37983000,0.0572,1,2022.5.22 0:01
37986000,0.3671,1,2022.5.22 0:01
37988000,0.6,1,2022.5.22 0:01
37989000,0.1114,1,2022.5.22 0:01
37969000,0.0003,0,2022.5.22 0:01
37967000,0.0003,0,2022.5.22 0:01
37966000,0.0003,0,2022.5.22 0:01
37963000,0.437,0,2022.5.22 0:01
37959000,0.0417,0,2022.5.22 0:01
37974000,0.0225,1,2022.5.22 0:01
37981000,0.0481,1,2022.5.22 0:01
37982000,0.6,1,2022.5.22 0:01
37983000,0.1715,1,2022.5.22 0:01
37984000,0.1336,1,2022.5.22 0:01
37966000,0.0003,0,2022.5.22 0:01
37959000,0.0001,0,2022.5.22 0:01
37955000,0.0489,0,2022.5.22 0:01
37953000,0.0529,0,2022.5.22 0:01
37949000,0.0004,0,2022.5.22 0:01
37973000,0.0325,1,2022.5.22 0:01
37974000,0.0225,1,2022.5.22 0:01
37975000,0.1567,1,2022.5.22 0:01
37976000,0.1277,1,2022.5.22 0:01
37977000,0.3596,1,2022.5.22 0:01
37959000,0.0001,0,2022.5.22 0:01
37955000,0.0489,0,2022.5.22 0:01
37953000,0.0529,0,2022.5.22 0:01
37949000,0.0004,0,2022.5.22 0:01
37948000,0.4101,0,2022.5.22 0:01
37964000,0.0329,1,2022.5.22 0:01
37966000,0.0288,1,2022.5.22 0:01
37968000,0.2349,1,2022.5.22 0:01
37969000,0.1,1,2022.5.22 0:01
37973000,0.0325,1,2022.5.22 0:01
37952000,0.0544,0,2022.5.22 0:01
37951000,0.5261,0,2022.5.22 0:01
